Description,Symbol,Transaction Date,Settlement Date,Account Currency,Type,Quantity,Currency of Price,Price,Settlement Amount
MKS INSTRUMENTS INC CASH DIV  ON     150 SHS REC 03/03/14 PAY 03/14/14      , ,14-Mar-2014,14-Mar-2014,CAD,STOCKDIV,0.00,CAD,0.000,26.36,
GOLDMAN SACHS GROUP INC      ,GS,14-Mar-2014,19-Mar-2014,CAD,SELL,-25.00,USD,165.720,4579.26,
LIFEPOINT HOSPITALS INC      ,LPNT,13-Mar-2014,18-Mar-2014,CAD,SELL,-75.00,USD,51.040,4228.35,
ELI LILLY & CO CASH DIV  ON      50 SHS REC 02/14/14 PAY 03/10/14      , ,10-Mar-2014,10-Mar-2014,CAD,STOCKDIV,0.00,CAD,0.000,26.88,
ISHARES 1 TO 3 YEAR TREASURY BOND ETF DIST      ON       4 SHS REC 03/05/14 PAY 03/07/14      , ,07-Mar-2014,07-Mar-2014,CAD,CASH DIV,0.00,CAD,0.000,0.08,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON     500 SHS REC 02/25/14 PAY 02/28/14      , ,28-Feb-2014,28-Feb-2014,CAD,CASH DIV,0.00,CAD,0.000,30.00,
ISHARES 1-5 YR LADDERED CORP BD INDEX FD COM UNIT DIST      ON     200 SHS REC 02/25/14 PAY 02/28/14      , ,28-Feb-2014,28-Feb-2014,CAD,CASH DIV,0.00,CAD,0.000,14.00,
NEW YORK COMMUNITY BANCORP INC CASH DIV  ON     175 SHS REC 02/10/14 PAY 02/21/14      , ,21-Feb-2014,21-Feb-2014,CAD,STOCKDIV,0.00,CAD,0.000,48.06,
HOSPITALITY PROPERTIES TRUST SBI DIST      ON     100 SHS REC 01/13/14 PAY 02/21/14      , ,21-Feb-2014,21-Feb-2014,CAD,CASH DIV,0.00,CAD,0.000,52.73,
SAFEWAY INC      ,SWY,20-Feb-2014,25-Feb-2014,CAD,SELL,-50.00,USD,34.920,1922.59,
VANGUARD S&P 500 ETF      ,VOO,18-Feb-2014,21-Feb-2014,CAD,BUY,100.00,USD,168.850,-18533.80,
VANGUARD INDEX FUNDS VANGUARD TOTAL STOCK MARKET ETF  ,VTI,18-Feb-2014,21-Feb-2014,CAD,BUY,100.00,USD,96.100,-10553.13,
EZCORP INC-CL A      ,EZPW,12-Feb-2014,18-Feb-2014,CAD,SELL,-50.00,USD,12.210,671.83,
ISHARES 1 TO 3 YEAR TREASURY BOND ETF DIST      ON       4 SHS REC 02/05/14 PAY 02/07/14      , ,07-Feb-2014,07-Feb-2014,CAD,CASH DIV,0.00,CAD,0.000,0.10,
POTASH CORP OF SASKATCHEWAN INC CANADIAN LISTED CASH DIV  ON     100 SHS REC 01/16/14 PAY 02/06/14      , ,06-Feb-2014,06-Feb-2014,CAD,STOCKDIV,0.00,CAD,0.000,38.24,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON     500 SHS REC 01/28/14 PAY 01/31/14      , ,31-Jan-2014,31-Jan-2014,CAD,CASH DIV,0.00,CAD,0.000,30.00,
ISHARES 1-5 YR LADDERED CORP BD INDEX FD COM UNIT DIST      ON     200 SHS REC 01/28/14 PAY 01/31/14      , ,31-Jan-2014,31-Jan-2014,CAD,CASH DIV,0.00,CAD,0.000,14.70,
CANADIAN IMPERIAL BANK OF COMMERCE CASH DIV  ON      25 SHS REC 12/27/13 PAY 01/28/14      , ,28-Jan-2014,28-Jan-2014,CAD,STOCKDIV,0.00,CAD,0.000,24.00,
SAFEWAY INC CASH DIV  ON      50 SHS REC 12/19/13 PAY 01/09/14      , ,14-Jan-2014,14-Jan-2014,CAD,STOCKDIV,0.00,CAD,0.000,10.78,
ISHARES BRIC INDEX FUND UNIT COM DIST      ON     450 SHS REC 12/31/13 PAY 01/06/14      , ,06-Jan-2014,06-Jan-2014,CAD,CASH DIV,0.00,CAD,0.000,136.44,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON     500 SHS REC 12/31/13 PAY 01/06/14      , ,06-Jan-2014,06-Jan-2014,CAD,CASH DIV,0.00,CAD,0.000,30.00,
ISHARES 1-5 YR LADDERED CORP BD INDEX FD COM UNIT DIST      ON     200 SHS REC 12/31/13 PAY 01/06/14      , ,06-Jan-2014,06-Jan-2014,CAD,CASH DIV,0.00,CAD,0.000,13.80,
conf#null Scotia Online US-Friendly Quarterly Fee      , ,02-Jan-2014,02-Jan-2014,CAD,FEE,0.00,CAD,0.000,-30.00,
conf#null Scotia Online US-Friendly Qtrly Fee-GST      , ,02-Jan-2014,02-Jan-2014,CAD,GST,0.00,CAD,0.000,-1.50,
ISHARES 1 TO 3 YEAR TREASURY BOND ETF DIST      ON       4 SHS REC 12/30/13 PAY 01/02/14      , ,02-Jan-2014,02-Jan-2014,CAD,CASH DIV,0.00,CAD,0.000,0.08,
GOLDMAN SACHS GROUP INC CASH DIV  ON      26 SHS REC 12/02/13 PAY 12/30/13      , ,30-Dec-2013,30-Dec-2013,CAD,STOCKDIV,0.00,CAD,0.000,15.12,
COCA COLA COMPANY (THE) CASH DIV  ON      94 SHS REC 12/02/13 PAY 12/16/13      , ,16-Dec-2013,16-Dec-2013,CAD,STOCKDIV,0.00,CAD,0.000,27.66,
MKS INSTRUMENTS INC CASH DIV  ON     150 SHS REC 12/02/13 PAY 12/13/13      , ,13-Dec-2013,13-Dec-2013,CAD,STOCKDIV,0.00,CAD,0.000,25.32,
ELI LILLY & CO CASH DIV  ON      50 SHS REC 11/15/13 PAY 12/10/13      , ,10-Dec-2013,10-Dec-2013,CAD,STOCKDIV,0.00,CAD,0.000,25.90,
ISHARES 1 TO 3 YEAR TREASURY BOND ETF DIST      ON       4 SHS REC 12/04/13 PAY 12/06/13      , ,06-Dec-2013,06-Dec-2013,CAD,CASH DIV,0.00,CAD,0.000,0.08,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON     500 SHS REC 11/26/13 PAY 11/29/13      , ,29-Nov-2013,29-Nov-2013,CAD,CASH DIV,0.00,CAD,0.000,30.00,
ISHARES 1-5 YR LADDERED CORP BD INDEX FD COM UNIT DIST      ON     200 SHS REC 11/26/13 PAY 11/29/13      , ,29-Nov-2013,29-Nov-2013,CAD,CASH DIV,0.00,CAD,0.000,14.00,
HOSPITALITY PROPERTIES TRUST SBI DIST      ON     100 SHS REC 10/25/13 PAY 11/22/13      , ,22-Nov-2013,22-Nov-2013,CAD,CASH DIV,0.00,CAD,0.000,49.85,
NEW YORK COMMUNITY BANCORP INC CASH DIV  ON     175 SHS REC 11/07/13 PAY 11/19/13      , ,19-Nov-2013,19-Nov-2013,CAD,STOCKDIV,0.00,CAD,0.000,45.19,
ISHARES 1 TO 3 YEAR TREASURY BOND ETF DIST      ON       4 SHS REC 11/05/13 PAY 11/07/13      , ,07-Nov-2013,07-Nov-2013,CAD,CASH DIV,0.00,CAD,0.000,0.08,
POTASH CORP OF SASKATCHEWAN INC CANADIAN LISTED CASH DIV  ON     100 SHS REC 10/15/13 PAY 11/05/13      , ,05-Nov-2013,05-Nov-2013,CAD,STOCKDIV,0.00,CAD,0.000,36.30,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON     500 SHS REC 10/28/13 PAY 10/31/13      , ,31-Oct-2013,31-Oct-2013,CAD,CASH DIV,0.00,CAD,0.000,30.00,
ISHARES 1-5 YR LADDERED CORP BD INDEX FD COM UNIT DIST      ON     200 SHS REC 10/28/13 PAY 10/31/13      , ,31-Oct-2013,31-Oct-2013,CAD,CASH DIV,0.00,CAD,0.000,14.28,
CANADIAN IMPERIAL BANK OF COMMERCE CASH DIV  ON      25 SHS REC 09/27/13 PAY 10/28/13      , ,28-Oct-2013,28-Oct-2013,CAD,STOCKDIV,0.00,CAD,0.000,24.00,
URANIUM ONE INC      , ,24-Oct-2013,24-Oct-2013,CAD,SELL,-1000.00,CAD,2.860,2860.00,
SAFEWAY INC CASH DIV  ON      50 SHS REC 09/19/13 PAY 10/10/13      , ,10-Oct-2013,10-Oct-2013,CAD,STOCKDIV,0.00,CAD,0.000,10.29,
ISHARES 1 TO 3 YEAR TREASURY BOND ETF DIST      ON       4 SHS REC 10/03/13 PAY 10/07/13      , ,07-Oct-2013,07-Oct-2013,CAD,CASH DIV,0.00,CAD,0.000,0.07,
conf#null Scotia Online US-Friendly Quarterly Fee      , ,01-Oct-2013,01-Oct-2013,CAD,FEE,0.00,CAD,0.000,-30.00,
conf#null Scotia Online US-Friendly Qtrly Fee-GST      , ,01-Oct-2013,01-Oct-2013,CAD,GST,0.00,CAD,0.000,-1.50,
COCA COLA COMPANY (THE) CASH DIV  ON      94 SHS REC 09/16/13 PAY 10/01/13      , ,01-Oct-2013,01-Oct-2013,CAD,STOCKDIV,0.00,CAD,0.000,26.90,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON     500 SHS REC 09/20/13 PAY 09/30/13      , ,30-Sep-2013,30-Sep-2013,CAD,CASH DIV,0.00,CAD,0.000,30.00,
ISHARES 1-5 YR LADDERED CORP BD INDEX FD COM UNIT DIST      ON     200 SHS REC 09/20/13 PAY 09/30/13      , ,30-Sep-2013,30-Sep-2013,CAD,CASH DIV,0.00,CAD,0.000,14.28,
GOLDMAN SACHS GROUP INC CASH DIV  ON      26 SHS REC 08/30/13 PAY 09/27/13      , ,27-Sep-2013,27-Sep-2013,CAD,STOCKDIV,0.00,CAD,0.000,13.28,
MKS INSTRUMENTS INC CASH DIV  ON     150 SHS REC 08/30/13 PAY 09/13/13      , ,13-Sep-2013,13-Sep-2013,CAD,STOCKDIV,0.00,CAD,0.000,24.55,
ELI LILLY & CO CASH DIV  ON      50 SHS REC 08/15/13 PAY 09/10/13      , ,10-Sep-2013,10-Sep-2013,CAD,STOCKDIV,0.00,CAD,0.000,25.22,
ISHARES 1 TO 3 YEAR TREASURY BOND ETF DIST      ON       4 SHS REC 09/05/13 PAY 09/09/13      , ,09-Sep-2013,09-Sep-2013,CAD,CASH DIV,0.00,CAD,0.000,0.07,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON     500 SHS REC 08/27/13 PAY 08/30/13      , ,30-Aug-2013,30-Aug-2013,CAD,CASH DIV,0.00,CAD,0.000,30.00,
ISHARES 1-5 YR LADDERED CORP BD INDEX FD COM UNIT DIST      ON     200 SHS REC 08/27/13 PAY 08/30/13      , ,30-Aug-2013,30-Aug-2013,CAD,CASH DIV,0.00,CAD,0.000,14.29,
HOSPITALITY PROPERTIES TRUST SBI DIST      ON     100 SHS REC 07/26/13 PAY 08/23/13      , ,23-Aug-2013,23-Aug-2013,CAD,CASH DIV,0.00,CAD,0.000,48.90,
NEW YORK COMMUNITY BANCORP INC CASH DIV  ON     175 SHS REC 08/07/13 PAY 08/16/13      , ,16-Aug-2013,16-Aug-2013,CAD,STOCKDIV,0.00,CAD,0.000,44.80,
ISHARES 1 TO 3 YEAR TREASURY BOND ETF DIST      ON       4 SHS REC 08/05/13 PAY 08/07/13      , ,07-Aug-2013,07-Aug-2013,CAD,CASH DIV,0.00,CAD,0.000,0.07,
POTASH CORP OF SASKATCHEWAN INC CANADIAN LISTED CASH DIV  ON     100 SHS REC 07/12/13 PAY 08/02/13      , ,02-Aug-2013,02-Aug-2013,CAD,STOCKDIV,0.00,CAD,0.000,36.37,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON     500 SHS REC 07/26/13 PAY 07/31/13      , ,31-Jul-2013,31-Jul-2013,CAD,CASH DIV,0.00,CAD,0.000,30.00,
ISHARES 1-5 YR LADDERED CORP BD INDEX FD COM UNIT DIST      ON     200 SHS REC 07/26/13 PAY 07/31/13      , ,31-Jul-2013,31-Jul-2013,CAD,CASH DIV,0.00,CAD,0.000,14.29,
CANADIAN IMPERIAL BANK OF COMMERCE CASH DIV  ON      25 SHS REC 06/28/13 PAY 07/29/13      , ,29-Jul-2013,29-Jul-2013,CAD,STOCKDIV,0.00,CAD,0.000,24.00,
RESEARCH IN MOTION LTD NAME CHANGE      , ,18-Jul-2013,18-Jul-2013,CAD,NAMECHG,-25.00,CAD,0.000,0.00,
BLACKBERRY LTD COM RESULT OF NAME CHANGE      , ,18-Jul-2013,18-Jul-2013,CAD,NAMECHG,25.00,CAD,0.000,0.00,
SAFEWAY INC CASH DIV  ON      50 SHS REC 06/20/13 PAY 07/11/13      , ,11-Jul-2013,11-Jul-2013,CAD,STOCKDIV,0.00,CAD,0.000,10.42,
ISHARES 1 TO 3 YEAR TREASURY BOND ETF DIST      ON       4 SHS REC 07/03/13 PAY 07/08/13      , ,08-Jul-2013,08-Jul-2013,CAD,CASH DIV,0.00,CAD,0.000,0.07,
conf#null Scotia Online US-Friendly Quarterly Fee      , ,02-Jul-2013,02-Jul-2013,CAD,FEE,0.00,CAD,0.000,-30.00,
conf#null Scotia Online US-Friendly Qtrly Fee-GST      , ,02-Jul-2013,02-Jul-2013,CAD,GST,0.00,CAD,0.000,-1.50,
COCA COLA COMPANY (THE) CASH DIV  ON      94 SHS REC 06/14/13 PAY 07/01/13      , ,02-Jul-2013,02-Jul-2013,CAD,STOCKDIV,0.00,CAD,0.000,27.35,
ISHARES BRIC INDEX FUND UNIT COM DIST      ON     450 SHS REC 06/21/13 PAY 06/28/13      , ,28-Jun-2013,28-Jun-2013,CAD,CASH DIV,0.00,CAD,0.000,143.20,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON     500 SHS REC 06/21/13 PAY 06/28/13      , ,28-Jun-2013,28-Jun-2013,CAD,CASH DIV,0.00,CAD,0.000,30.00,
